build_failed,NC,src_churn,test_churn,ConfigF,FilesA,FilesD,FilesM,srcF,docF,otherF,NUC,elapsed_days,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,NDEV,prev_build_result,day_week,classif_build,TFC,BMsg,maintC,fixC,buildF,mergeC,NS,ND,EXP,entropy,Assertion Roulette,Conditional Test Logic,Constructor Initialization,CyclomaticComplexity,DataClass,DeadCode,Duplicate Assert,DuplicatedCode,Eager Test,EmptyTest,Exception Catching Throwing,ExcessiveParameterList,General Fixture,GodClass,IgnoredTest,Lazy Test,LooseCoupling,Magic Number Test,Mystery Guest,NPathComplexity,Print Statement,Redundant Assertion,Resource Optimism,Sensitive Equality,Sleepy Test,TooManyFields,TooManyMethods,Unknown Test
0,1,0,0,0,0,1,0,0,0,1,1,0,1,0.218685121,0.000692042,0.131782946,0.2,1,0,4,7,1,6.918404833,0,0,0,0,1,1,129,0,24,21,24,66,76,67,21,20,9,0,24,26,19,21,13,9,0,24,0,28,0,0,0,16,24,19,22,17
0,1,0,0,0,0,0,2,0,0,2,2,0,0,0.218382861,0.000691085,0.130769231,0.2,1,0,4,7,1,6.022250866,1,0,0,0,1,2,130,0.9182958,25,24,24,66,76,67,25,20,9,0,24,26,11,21,13,9,0,24,0,28,0,0,0,24,24,19,22,24
1,1,0,0,0,0,0,1,0,0,1,1,0,1,0.218771567,0.000690131,0.136363636,0.2,1,1,4,7,1,5.810386991,0,0,0,0,1,1,132,0,23,22,25,66,76,67,23,20,9,0,19,26,14,21,18,9,0,22,0,28,0,0,0,13,7,19,22,18
1,1,0,0,0,0,0,4,0,0,4,3,0,1,0.218232044,0.000690608,0.129770992,0.2,1,0,4,7,2,8.793384497,0,0,0,0,1,3,131,1.9333358,25,23,23,66,76,67,23,20,8,0,23,26,16,21,3,8,0,23,0,28,0,0,0,23,23,19,22,24
1,1,0,0,0,0,0,2,0,0,2,1,0,1,0.219310345,0.000689655,0.142857143,0.2,1,1,4,2,1,4.480736687,0,1,0,0,1,1,133,0.8112781,25,25,25,66,76,67,25,20,9,0,25,26,12,21,13,9,0,25,0,28,0,0,0,25,25,19,22,25
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.21984838,0.00068918,0.149253731,0.2,1,1,4,7,1,5.87584134,0,0,0,0,1,1,134,0,25,21,23,66,76,67,24,20,6,0,24,26,24,21,12,9,0,25,0,28,0,0,0,4,21,19,22,12
0,1,0,0,0,0,0,2,0,0,2,2,0,1,0.21969697,0.000688705,0.148148148,0.2,1,0,4,7,2,6.541377122,0,0,0,0,1,2,135,0.42622864,25,22,25,66,76,67,21,20,7,0,25,26,16,21,4,7,0,25,0,28,0,0,0,22,25,19,22,23
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.219545767,0.000688231,0.147058824,0.2,1,0,4,1,0,4.098662724,0,0,0,1,0,0,136,0,25,24,21,66,76,67,19,20,6,0,24,26,20,21,13,9,0,22,0,28,0,0,0,24,23,19,22,15
0,1,0,0,0,1,0,4,0,0,5,3,0,0,0.219394773,0.000687758,0.190697674,0,1,0,4,7,2,5.55462371,0,0,0,0,1,2,215,2.0760562,25,25,24,66,76,67,25,20,8,0,25,26,21,21,4,8,0,24,0,28,0,0,0,24,25,19,22,24
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.219243986,0.000687285,0.145985401,0.2,1,0,4,7,1,5.871369367,0,0,0,0,1,1,137,0,25,25,25,66,76,67,25,20,9,0,24,26,17,21,3,9,0,25,0,28,0,0,0,19,20,19,22,25
